Version,Release Date,Download Link,Info Link
v0.18.0,01/29/18,https://goo.gl/Tuq45u,https://www.metamorphsoftware.com/openmeta-revision-history
v0.18.0-5-g7ffe69263,01/31/18,/releases/v0.18.0-5-g7ffe69263/META_bundle_x64.exe,/releases/v0.18.0-5-g7ffe69263/index.html
