CfgID,GUID,IN_E11,IN_E22,IN_ElemCount,IN_HubMaterial,IN_Root_AvgCapMaterialThickness,IN_Tip_AvgCapMaterialThickness,OUT_Blade_Cost_Total,OUT_Blade_Tip_Deflection
28-16,c39e8adb-4f08-495f-a428-edb739be08ee,29357.22832,44031.98587,35,Steel,91.9944958,27.45363736,160690.3964,2291.32066
32-16,a8dd24b5-1a41-4bd2-9d39-9510b6c2ef16,31028.73728,86152.4486,15,Steel,79.16301807,20.11082167,145651.6798,2403.498586
28-16,8d4df063-7f21-487a-9603-756bfb00c088,27337.73757,35881.58073,49,Steel,83.83013796,28.59786591,154199.5679,2543.151993
28-16,e355204b-6c2c-4418-b34c-56e1be34784d,29858.54837,72136.12933,14,Steel,78.29829787,23.83557968,140684.9169,2584.713223
30-20,535fb950-fcf4-4335-84a8-665bc76a069a,27483.30778,20482.11676,16,Steel,93.45666592,24.95368146,167201.6636,2328.906744
28-16,beb53533-9d32-4b52-a208-1bd45353d743,27274.90975,74345.15556,35,Steel,85.90224528,25.63824442,155282.6595,2576.20311
28-16,17185df6-7ecf-4266-99d8-48a86979c49e,29110.25475,52968.41026,44,Steel,90.75555123,25.03201658,158963.4823,2405.047704
32-16,ca839dba-8d50-4454-adde-a74e6ec21594,29177.51085,61933.28054,17,Steel,91.34255607,26.3524432,165651.49,2086.141028
30-16,2911cd9e-4c9f-4403-a19e-3819d1bb7350,29907.88131,65664.32356,44,Steel,78.08511196,25.53309309,143232.1615,2513.602554
32-16,2fb5ac09-b8ba-42c0-867c-62c6f3ae495e,31115.44248,22557.41504,26,Steel,89.89482354,25.94194288,164313.3472,2068.590116
30-16,5f9910c3-6863-4560-b20d-558992c60953,27843.69174,15091.21249,13,Steel,92.8691995,22.89432132,162785.9504,2268.940895
30-16,0005bd61-f68c-4179-81b7-09d9df2df603,31709.59936,24600.94553,24,Steel,95.32670233,26.25373367,168325.7731,2034.214687
30-16,b7838f32-79e1-4f9d-8881-eda688d5d598,30924.11115,35292.75283,46,Steel,96.82648295,21.54168308,168039.8018,2159.256669
28-16,ccc489f0-5971-49a0-b436-83bb7a37ba8d,27931.55611,41109.8902,24,Steel,87.63804997,20.2049281,155192.0355,2641.037994
32-16,c715dcd6-78c9-4464-9aff-3525147fb2fd,27974.19619,13859.52074,23,Steel,81.48918796,20.45097843,147820.8511,2551.102135
28-16,63aea407-5c3c-4c36-a7d1-9648a47ad440,28425.86814,48230.28959,10,Steel,82.29034369,29.03814253,145125.2625,2357.09705
30-20,1d90e781-e3ac-4f35-abc0-7add6fa5a79d,30632.95471,26356.23797,45,Steel,82.69108475,27.91651261,148338.214,2389.001872
28-20,6d6a0e65-3f50-4296-a7ea-187c0254ae56,29576.09476,48146.49386,48,Steel,93.83922999,29.33879986,165513.5712,2280.37601
30-16,b03af652-4dde-451d-8dd4-ab2a4b2abdab,30294.3066,86515.09683,19,Steel,93.57533737,22.76628332,165665.0285,2188.310968
28-16,d8ecf1b7-d9c7-4b54-81d0-e0361d622ec6,27584.11507,12376.16737,39,Steel,91.26819943,29.11973824,160714.5836,2352.493687
30-16,228b6316-55c4-485c-896f-0813872b6418,28116.12419,69179.44052,45,Steel,83.41089351,28.74679462,154069.3516,2386.657419
32-16,1a52ff0a-b6c2-42c3-97d1-fa44b3e24e10,27810.47084,85762.48379,52,Steel,85.94031567,23.53346684,160397.874,2407.286743
32-16,856ddece-f77c-46a6-96a0-8f00c26658a6,26604.6539,23452.79964,15,Steel,83.88148215,21.57200653,158123.6809,2470.293039
32-20,cf746a8d-fc41-4f19-b2ab-a89b81d199c1,26962.59632,39183.47912,15,Steel,90.2644817,28.5708557,165949.7493,2214.148955
30-20,97487e74-b352-4da9-a16e-bd3e55a563c4,28633.20718,75164.7715,27,Steel,91.17347533,22.06112646,162346.9073,2459.503763
28-20,7bfaa58b-6800-4886-9b87-098d9da66f5b,27648.01216,68322.84758,7,Steel,94.51587719,28.66965143,165931.1086,2157.605291
32-20,9edd3a46-747f-44a9-bd05-38f9a1180b4f,30397.62208,25939.96635,10,Steel,89.98810873,24.14146302,164250.4703,2105.492422
32-20,4bd94f7b-ce28-4ee2-a64f-bd8e9b1e0385,28985.63837,83647.32406,30,Steel,85.71474455,24.11187963,160644.6406,2395.41238
28-16,50ca8674-6537-49d1-93fc-99bcc868beee,27478.22123,35482.36067,36,Steel,88.89506906,24.46011472,157423.5846,2527.538321
32-20,a7c33b42-42b3-4c34-95b2-7bca49bdf43d,27311.86969,63829.14128,41,Steel,81.17982179,25.07178732,148750.6337,2574.989345
30-20,680f2ea4-ac58-496c-82ca-64593a07bee4,28995.58881,40566.9391,35,Steel,80.45848979,20.91336581,144770.2508,2754.696027
30-16,dc1b076c-6e41-4ec6-8951-b12be3261616,26400.01861,43658.85854,44,Steel,96.93112736,25.11962467,169205.6096,2318.878865
30-16,ae0655f2-f1d9-4368-b5de-f9da8048b55e,27428.90175,26969.09104,12,Steel,88.04502595,28.07605725,160085.5188,2234.113862
28-20,317e5cc0-317b-4e0c-858f-1ff420618568,29132.51284,65687.78617,49,Steel,86.63999655,29.84634966,157189.3249,2429.310734
30-16,cff94a69-973d-4a3d-8c77-0180bdb365f2,26382.61736,20946.92277,14,Steel,81.64584141,29.07282955,146801.6745,2427.212683
30-16,20581c96-c233-4af4-851f-44b015dcb6da,31050.37128,27206.63321,21,Steel,78.56726418,26.73348385,143940.8031,2367.090778
30-20,3928e65a-2f2e-4e26-9ae9-09e6c8ebf71f,29714.78008,18300.16491,23,Steel,89.06250661,26.44432578,161682.6868,2304.334727
32-16,6dce91ff-4507-41e1-a486-92c2661c4db7,31797.40163,28818.83615,42,Steel,86.03346486,20.51880418,159456.8834,2297.105566
28-16,fe54bfe3-84c9-4937-8458-72ae314fec6c,28762.5258,54456.12009,32,Steel,95.59792286,28.4033957,166297.186,2214.460599
28-20,4a2d7f38-fe67-448e-ae8c-dd5a22a437f2,29940.21393,31961.15873,24,Steel,95.00564861,25.39117002,165788.3609,2308.904171
30-20,de2b96aa-7bf0-4b1d-8439-99c2a4ef6013,28357.0121,56572.01074,26,Steel,77.33814427,22.3447672,142951.6346,2793.774573
28-16,96469309-c917-4f0f-831c-509fbf79ac5f,31246.66615,89251.58902,21,Steel,77.91592294,27.1439768,140996.8106,2469.10581
28-20,7fd150b9-7f40-485a-a32d-966ecd653cec,28560.34704,50213.96938,22,Steel,81.83801701,27.98652885,144871.5627,2579.376326
