modelica.jturbine,modelica.ratio,modelica.rho,tl_peakPowerOutput.output,tl_integratedEnergy.output
25417589.6879,118.342885825,1.29424008037,691.10517864553719,26700.851386177015
138487890.755,91.8894358655,1.34599863297,95.23455714545247,4260.2160144912195
67659889.4463,93.3240242831,1.4133114331,174.55636641489744,7145.7978395626151
83265186.1335,89.3211878841,1.0470835924,135.53178019238567,5704.3457483189759
142788186.549,86.7150578859,1.17047687413,85.323063868006798,3884.1763695310187
81245556.9788,88.9231596097,1.08780707904,137.25632712164301,5765.013343783261
157632004.249,112.350923178,1.47385549872,118.75877738958413,5182.7344574465906
107905771.503,104.43772028,1.19501448518,142.95706801561215,6038.3075059609655
63238974.853,94.3026960401,1.13717065474,188.72514397571859,7669.9682735263923
81644681.2355,85.7448432657,1.22230553652,128.47458509065549,5431.4761628377164
78141885.8588,97.8169472091,1.27529696553,167.58627729454363,6911.3835910120897
65277592.3039,110.947618437,1.45399401028,247.51826360136056,9915.1309434702162
70268098.4501,117.681405229,1.28437813214,258.35241768215815,10344.384665351319
57188978.7668,95.5497181815,1.23548810927,211.42017428065438,8510.9268892564032
115333675.279,115.1388228,1.22944268533,160.09909366092549,6704.0796297625629
108122740.85,98.0555179525,1.34628855011,128.20782228099463,5476.4558120168795
151108729.19,111.690036545,1.10974675275,121.63430889278673,5285.499557008744
119474843.024,106.676313115,1.43065086724,136.25229491459413,5801.8272985033818
49975212.0901,103.101903,1.1480353498,275.69619822545417,10927.950911770151
72535874.5358,109.771985199,1.07783300561,220.55392461694765,8911.4440124873818
69992659.3039,103.415785342,1.31279162779,204.08253706845181,8276.6174811128185
143013016.799,109.683785969,1.12834374524,123.35949420341943,5341.9722011059157
135527229.943,102.864129609,1.43922311142,115.8427262783928,5045.5024427675517
124776282.425,107.018840646,1.39943331428,132.20459952317276,5655.397436990268
159755920.665,101.477654898,1.29302917604,99.863708304455841,4461.811068487531
116055856.147,98.0836380843,1.37126065939,121.15618513470751,5220.6055979394823
148575018.17,118.723083292,1.31399553501,136.56146827610374,5852.4751100411986
24789713.7052,117.115361031,1.20489198763,693.8544620220714,26802.295361600714
23844493.4336,92.8798233634,1.37416025999,455.56342813319111,17638.464415317936
136404672.238,81.4677937084,1.47253913013,80.392213959238305,3685.9193720119556
53341557.3507,98.0316840524,1.11739584592,236.1494796446496,9436.3541651382584
68121757.9922,91.5241871909,1.00560117252,167.58610237673216,6882.122776469666
40892289.0737,99.5236415759,1.16298028717,310.84971991129919,12222.005419375935
127282642.671,119.366560025,1.1198865241,156.82000991198797,6597.4941262504462
55262111.0016,92.4373079021,1.05466272224,205.11140403843461,8263.1106071834147
24109788.3365,93.2657805302,1.25644762454,454.37951821650546,17595.307572572754
89330102.2497,108.188491101,1.44255943951,178.64486855111858,7360.0162527934954
156428364.508,103.77234716,1.43523208903,105.10573715170746,4659.2084650658289
159976757.64,98.6133613533,1.12772315824,95.429706934182718,4291.9140484819536
165752689.644,80.8505699809,1.49605601001,69.852361012157758,3309.0825182633916
110811304.27,87.5473620009,1.28716747544,104.40806168795554,4572.0375140003844
108053277.025,116.52034071,1.49275504797,172.89993983655214,7179.2201522241894
46722775.7346,92.8898706121,1.48018629639,240.95338977274903,9588.642159889836
72623525.9705,90.1100744069,1.40452158743,154.3246822295842,6391.313626210258
147802978.204,87.8912057842,1.06086613542,84.940403169375429,3875.2538677393909
82537724.1673,85.7307876897,1.4636477025,127.3060343700994,5389.1568335862848
87941422.2415,108.553329284,1.23749401685,182.19699383711151,7492.02593507245
120395703.887,86.3461275993,1.19241328704,95.958057516143,4263.3599798656805
54227266.6484,95.3609772493,1.34377638075,220.98473033397494,8862.8298589270544
161872529.452,104.625626343,1.39612687054,103.73266144456144,4612.2503682813722
106814502.362,85.10124174,1.39818642053,102.63867338965994,4497.46780698371
126786694.505,86.6938341307,1.18504421549,92.933365795874195,4156.4501696678662
116472285.028,110.958864424,1.39819613685,148.87941568976944,6278.418627624359
52854827.7773,87.0293548682,1.15520622086,191.07838367536343,7719.1743321219028
104171412.767,93.671577208,1.17691429107,122.38247826790081,5247.194665010783
164210958.045,81.7028993816,1.48985315484,71.281926017508695,3363.3490078449927
54352819.32,112.288132513,1.16217071758,299.84826318298252,11868.36072989588
69244883.2797,111.121463795,1.27050446622,235.26207494260615,9461.3803073188046
91263064.4719,114.003196367,1.26493936941,192.64001996494912,7897.2396710841567
138896440.135,97.2745581122,1.28195948704,103.87977756004491,4592.173586720437
85315858.6231,112.032213987,1.14715512643,198.08259839320246,8090.5177438870051
38118316.3228,98.1472662376,1.25995731319,323.36208692777643,12683.252817577857
152236007.482,95.001564348,1.38926939469,93.476204003885599,4208.7015308193813
101284500.742,90.8424529464,1.47705386582,118.94892344578462,5110.8088600984847
160335437.632,102.280194399,1.16243419348,100.82605932603039,4499.3007254032582
18687724.5669,100.710119803,1.22561922718,679.52939022195062,26205.542562274393
45459096.631,95.0517552971,1.19161833134,258.04241590465961,10233.153883984289
37167271.6995,114.566419753,1.47769589676,447.26535846601502,17415.791673291849
126568235.675,86.5497853418,1.32917633266,92.814037343689193,4151.5607907065059
116979719.488,90.7396429612,1.35214217516,106.05861073128095,4645.1482305000818
45243785.524,106.403706052,1.31182888292,321.29397743949431,12644.182292424002
141021865.735,91.3888575676,1.26743650652,93.183540868441924,4184.5564253413895
33221034.7216,109.229165121,1.43481066464,454.06184253443115,17651.215208049631
10147919.0492,90.3080283089,1.2998260421,1004.4398134951193,38696.312891466754
61923532.2279,103.796014846,1.12051369572,229.37018425082161,9212.1116406244382
21801874.803,109.581510504,1.02349698638,690.17306397045286,26639.155029003385
