CfgID,GUID,modelica.jturbine,modelica.ratio,modelica.rho,tl_integratedEnergy.output,tl_peakPowerOutput.output
cfg1,15a1508d-7c37-4ca8-8b54-526c4926e765,25417589.69,118.3428858,1.29424008,26700.85139,691.1051786
cfg1,71ed6ff3-b0e4-4ded-9a7e-333cdc1bc3a4,138487890.8,91.88943587,1.345998633,4260.216014,95.23455715
cfg1,ed3dea14-e51e-458b-9a2d-be8c06918259,67659889.45,93.32402428,1.413311433,7145.79784,174.5563664
cfg1,93d28019-8aad-4236-86bb-7af1b4668da4,83265186.13,89.32118788,1.047083592,5704.345748,135.5317802
cfg1,b3d0651f-d1e2-4c52-b95c-a980b42c53a5,142788186.5,86.71505789,1.170476874,3884.17637,85.32306387
cfg1,6a9d12fb-71b8-4395-9a6f-d5dac4914a77,81245556.98,88.92315961,1.087807079,5765.013344,137.2563271
cfg1,5cba654c-0505-4e52-ab14-1f385ea8def5,157632004.2,112.3509232,1.473855499,5182.734457,118.7587774
cfg1,bf2a1b61-c53d-4436-9996-58068ca7ce26,107905771.5,104.4377203,1.195014485,6038.307506,142.957068
cfg1,35f0d009-a1ed-4177-a15a-ae1337d97185,63238974.85,94.30269604,1.137170655,7669.968274,188.725144
cfg1,39b8e264-97e2-4363-9a27-a7426ea8d7ad,81644681.24,85.74484327,1.222305537,5431.476163,128.4745851
cfg1,9e851bb0-0d89-43a5-8977-040e1c7a45f9,78141885.86,97.81694721,1.275296966,6911.383591,167.5862773
cfg1,91f0cc45-b43e-4d5e-88b4-6740f0759dbf,65277592.3,110.9476184,1.45399401,9915.130943,247.5182636
cfg1,14e558b2-1a10-4670-b98d-d0219c36d748,70268098.45,117.6814052,1.284378132,10344.38467,258.3524177
cfg1,d9daa9aa-a45d-471a-9918-295e14b96258,57188978.77,95.54971818,1.235488109,8510.926889,211.4201743
cfg1,c0487273-4097-451f-9b51-9cee6af0702d,115333675.3,115.1388228,1.229442685,6704.07963,160.0990937
cfg1,e7776a2e-b7c8-4bdc-bfd9-c73f60febae4,108122740.9,98.05551795,1.34628855,5476.455812,128.2078223
cfg1,57bccb17-828d-4531-801d-c15cdab995a5,151108729.2,111.6900365,1.109746753,5285.499557,121.6343089
cfg1,1c646ee8-fd37-49a2-8cd8-8aa0c6ab5a0d,119474843,106.6763131,1.430650867,5801.827299,136.2522949
cfg1,ef3b272e-ffb9-4638-87c2-f9aa6680fae0,49975212.09,103.101903,1.14803535,10927.95091,275.6961982
cfg1,de0aa1c3-88fd-4fa9-b388-44c17bee8025,72535874.54,109.7719852,1.077833006,8911.444012,220.5539246
cfg1,6bd2b1f1-f659-4b1d-992b-72b175dca032,69992659.3,103.4157853,1.312791628,8276.617481,204.0825371
cfg1,80d645bf-9bf0-4b41-b5df-ecb8c300dcf4,143013016.8,109.683786,1.128343745,5341.972201,123.3594942
cfg1,89dcbd2c-cd2a-4519-b79f-92d94790fb1c,135527229.9,102.8641296,1.439223111,5045.502443,115.8427263
cfg1,246917df-6872-4a09-9059-b3974c032507,124776282.4,107.0188406,1.399433314,5655.397437,132.2045995
cfg1,a4b256d2-d38e-4f5d-9839-cb7befaf0e1e,159755920.7,101.4776549,1.293029176,4461.811068,99.8637083
cfg1,35c88051-b2cc-4b39-beb8-3cdf27559d9f,116055856.1,98.08363808,1.371260659,5220.605598,121.1561851
cfg1,75192794-d54c-450d-aee3-62ec103b9b56,148575018.2,118.7230833,1.313995535,5852.47511,136.5614683
cfg1,cc403033-0de7-47c6-b3e4-4f4139bcdfd5,24789713.71,117.115361,1.204891988,26802.29536,693.854462
cfg1,462a65cf-2492-4760-b10a-89158bd3e91f,23844493.43,92.87982336,1.37416026,17638.46442,455.5634281
cfg1,19a8b38f-019d-4f47-ac16-05504ca66d41,136404672.2,81.46779371,1.47253913,3685.919372,80.39221396
cfg1,168ea124-fde9-4e2e-b315-1a6ff72c20ba,53341557.35,98.03168405,1.117395846,9436.354165,236.1494796
cfg1,aee8a9f9-0a17-4474-b742-5c02cea84dd1,68121757.99,91.52418719,1.005601173,6882.122776,167.5861024
cfg1,8eb6ec32-3a7f-41c1-be05-91498ccb1ee9,40892289.07,99.52364158,1.162980287,12222.00542,310.8497199
cfg1,9d470000-0bc1-45eb-9224-aa26b379b7b1,127282642.7,119.36656,1.119886524,6597.494126,156.8200099
cfg1,72a7c312-63fc-42f4-b0c3-53bf3780c67f,55262111,92.4373079,1.054662722,8263.110607,205.111404
cfg1,fac040c1-5a30-4b0e-938e-4110d544a440,24109788.34,93.26578053,1.256447625,17595.30757,454.3795182
cfg1,5b1b421d-7c3e-47a4-8875-166b3325cfba,89330102.25,108.1884911,1.44255944,7360.016253,178.6448686
cfg1,063f158e-8f88-41aa-97b6-9e5886e27cdc,156428364.5,103.7723472,1.435232089,4659.208465,105.1057372
cfg1,931cf789-0b64-426e-adc4-2ff588664c4f,159976757.6,98.61336135,1.127723158,4291.914048,95.42970693
cfg1,c4c8089e-8237-4963-9916-9f7c92ed5137,165752689.6,80.85056998,1.49605601,3309.082518,69.85236101
cfg1,095fea1b-0d9d-4261-b93d-be2be845d66a,110811304.3,87.547362,1.287167475,4572.037514,104.4080617
